Sales Person,Country,Product,Date,Amount,Boxes Shipped,Month,Year,Day
Curtice Advani,USA,Spicy Special Slims,2022-07-11,16030,264,July,2022,Monday
Brien Boise,India,Almond Choco,2022-01-13,21700,218,January,2022,Thursday
Oby Sorrel,New Zealand,Smooth Sliky Salty,2022-07-07,86730,60,July,2022,Thursday
Jan Morforth,India,85% Dark Bars,2022-05-25,47600,418,May,2022,Wednesday
Marney O'Breen,India,Fruit & Nut Bars,2022-04-13,47530,151,April,2022,Wednesday
Andria Kimpton,New Zealand,50% Dark Bites,2022-03-02,33740,202,March,2022,Wednesday
Gunar Cockshoot,Canada,Raspberry Choco,2022-06-23,20580,126,June,2022,Thursday
Kelci Walkden,USA,Drinking Coco,2022-07-26,64540,160,July,2022,Tuesday
Van Tuxwell,Canada,White Choc,2022-03-22,4200,3,March,2022,Tuesday
Rafaelita Blaksland,USA,Baker's Choco Chips,2022-06-09,28630,58,June,2022,Thursday
Van Tuxwell,Australia,Caramel Stuffed Bars,2022-05-17,59360,59,May,2022,Tuesday
Ches Bonnell,New Zealand,Peanut Butter Cubes,2022-03-04,8890,273,March,2022,Friday
Kelci Walkden,Canada,Milk Bars,2022-07-07,160160,28,July,2022,Thursday
Dennison Crosswaite,Canada,Choco Coated Almonds,2022-01-13,104790,118,January,2022,Thursday
Curtice Advani,Australia,Almond Choco,2022-07-13,29120,75,July,2022,Wednesday
Madelene Upcott,Australia,85% Dark Bars,2022-06-16,15750,329,June,2022,Thursday
Gigi Bohling,UK,50% Dark Bites,2022-07-18,81970,69,July,2022,Monday
Ches Bonnell,UK,Manuka Honey Choco,2022-05-30,42210,395,May,2022,Monday
Gigi Bohling,UK,70% Dark Bites,2022-06-21,8400,81,June,2022,Tuesday
Jehu Rudeforth,Australia,Peanut Butter Cubes,2022-06-24,56910,38,June,2022,Friday
Marney O'Breen,India,Eclairs,2022-01-13,34720,96,January,2022,Thursday
Curtice Advani,Canada,Fruit & Nut Bars,2022-04-04,41930,195,April,2022,Monday
Kaine Padly,UK,Smooth Sliky Salty,2022-06-08,90160,554,June,2022,Wednesday
Karlen McCaffrey,Canada,Spicy Special Slims,2022-08-02,63280,47,August,2022,Tuesday
Kelci Walkden,USA,Organic Choco Syrup,2022-07-21,98700,152,July,2022,Thursday
Curtice Advani,India,Spicy Special Slims,2022-06-20,1610,134,June,2022,Monday
Roddy Speechley,India,After Nines,2022-06-22,25760,112,June,2022,Wednesday
Camilla Castle,Australia,Caramel Stuffed Bars,2022-05-02,31780,16,May,2022,Monday
Curtice Advani,Australia,99% Dark & Pure,2022-01-07,46760,84,January,2022,Friday
Mallorie Waber,UK,50% Dark Bites,2022-02-21,55020,99,February,2022,Monday
Ches Bonnell,Canada,Baker's Choco Chips,2022-03-21,74620,371,March,2022,Monday
Van Tuxwell,UK,Drinking Coco,2022-04-04,58030,136,April,2022,Monday
Gunar Cockshoot,Canada,Fruit & Nut Bars,2022-03-24,138880,203,March,2022,Thursday
Gunar Cockshoot,New Zealand,Spicy Special Slims,2022-06-28,68670,183,June,2022,Tuesday
Gunar Cockshoot,Australia,Drinking Coco,2022-01-14,23170,195,January,2022,Friday
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2022-02-07,12180,135,February,2022,Monday
Dennison Crosswaite,New Zealand,Drinking Coco,2022-01-11,41090,197,January,2022,Tuesday
Jehu Rudeforth,India,99% Dark & Pure,2022-02-25,19530,242,February,2022,Friday
Dotty Strutley,Australia,Mint Chip Choco,2022-08-01,67900,25,August,2022,Monday
Roddy Speechley,Australia,Mint Chip Choco,2022-05-05,67970,252,May,2022,Thursday
Madelene Upcott,New Zealand,Raspberry Choco,2022-05-18,92260,415,May,2022,Wednesday
Dotty Strutley,New Zealand,Choco Coated Almonds,2022-01-04,57330,348,January,2022,Tuesday
Roddy Speechley,New Zealand,50% Dark Bites,2022-05-09,43120,211,May,2022,Monday
Rafaelita Blaksland,India,Smooth Sliky Salty,2022-05-06,16380,81,May,2022,Friday
Husein Augar,UK,White Choc,2022-01-13,108150,145,January,2022,Thursday
Roddy Speechley,Australia,Almond Choco,2022-06-24,44660,74,June,2022,Friday
Van Tuxwell,USA,Caramel Stuffed Bars,2022-02-14,9870,21,February,2022,Monday
Camilla Castle,Australia,99% Dark & Pure,2022-01-18,46690,101,January,2022,Tuesday
Kaine Padly,India,Milk Bars,2022-05-02,29050,91,May,2022,Monday
Ches Bonnell,Australia,Smooth Sliky Salty,2022-05-16,74900,54,May,2022,Monday
Mallorie Waber,USA,Almond Choco,2022-01-28,69860,368,January,2022,Friday
Kaine Padly,Canada,99% Dark & Pure,2022-06-24,12880,409,June,2022,Friday
Oby Sorrel,UK,After Nines,2022-07-18,23450,104,July,2022,Monday
Gunar Cockshoot,UK,Eclairs,2022-04-13,36190,164,April,2022,Wednesday
Dotty Strutley,USA,Caramel Stuffed Bars,2022-04-15,169820,76,April,2022,Friday
Jan Morforth,India,Peanut Butter Cubes,2022-01-04,80920,178,January,2022,Tuesday
Husein Augar,Australia,Eclairs,2022-07-04,69930,31,July,2022,Monday
Beverie Moffet,USA,Smooth Sliky Salty,2022-03-24,23170,352,March,2022,Thursday
Camilla Castle,Australia,Manuka Honey Choco,2022-03-17,6370,169,March,2022,Thursday
Oby Sorrel,Australia,Almond Choco,2022-02-15,60340,223,February,2022,Tuesday
Jan Morforth,USA,Orange Choco,2022-06-29,9800,146,June,2022,Wednesday
Gigi Bohling,USA,Fruit & Nut Bars,2022-05-24,28210,112,May,2022,Tuesday
Mallorie Waber,UK,Milk Bars,2022-01-10,35630,284,January,2022,Monday
Curtice Advani,USA,Raspberry Choco,2022-03-15,29960,139,March,2022,Tuesday
Marney O'Breen,Canada,Milk Bars,2022-02-08,24360,309,February,2022,Tuesday
Brien Boise,India,Caramel Stuffed Bars,2022-02-25,15400,100,February,2022,Friday
Gunar Cockshoot,USA,Eclairs,2022-05-03,69160,42,May,2022,Tuesday
Roddy Speechley,USA,Fruit & Nut Bars,2022-06-14,55090,24,June,2022,Tuesday
Gunar Cockshoot,India,50% Dark Bites,2022-08-09,129920,83,August,2022,Tuesday
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2022-07-11,37240,234,July,2022,Monday
Kaine Padly,UK,Manuka Honey Choco,2022-01-14,71330,118,January,2022,Friday
Van Tuxwell,Canada,Manuka Honey Choco,2022-02-24,86170,46,February,2022,Thursday
Wilone O'Kielt,New Zealand,Almond Choco,2022-03-15,91980,144,March,2022,Tuesday
Oby Sorrel,New Zealand,Baker's Choco Chips,2022-04-25,118230,47,April,2022,Monday
Dennison Crosswaite,Australia,Organic Choco Syrup,2022-05-10,57750,41,May,2022,Tuesday
Marney O'Breen,Australia,Spicy Special Slims,2022-06-23,131250,275,June,2022,Thursday
Beverie Moffet,Canada,Smooth Sliky Salty,2022-02-28,142870,370,February,2022,Monday
Brien Boise,USA,Organic Choco Syrup,2022-05-25,162330,138,May,2022,Wednesday
Roddy Speechley,New Zealand,Baker's Choco Chips,2022-02-22,53130,215,February,2022,Tuesday
Van Tuxwell,UK,85% Dark Bars,2022-07-11,35770,134,July,2022,Monday
Marney O'Breen,Canada,Spicy Special Slims,2022-01-03,35280,336,January,2022,Monday
Rafaelita Blaksland,New Zealand,70% Dark Bites,2022-08-24,6790,280,August,2022,Wednesday
Beverie Moffet,USA,50% Dark Bites,2022-07-28,24500,352,July,2022,Thursday
Brien Boise,USA,Mint Chip Choco,2022-05-25,105770,150,May,2022,Wednesday
Karlen McCaffrey,New Zealand,Eclairs,2022-05-06,25970,177,May,2022,Friday
Barr Faughny,India,Drinking Coco,2022-01-28,22190,142,January,2022,Friday
Marney O'Breen,UK,Orange Choco,2022-06-06,113190,12,June,2022,Monday
Brien Boise,New Zealand,Baker's Choco Chips,2022-07-12,59780,24,July,2022,Tuesday
Ches Bonnell,Canada,Spicy Special Slims,2022-08-05,53270,183,August,2022,Friday
Brien Boise,USA,Orange Choco,2022-01-28,60200,147,January,2022,Friday
Kaine Padly,India,Spicy Special Slims,2022-08-31,56140,137,August,2022,Wednesday
Mallorie Waber,USA,50% Dark Bites,2022-04-19,17360,13,April,2022,Tuesday
Mallorie Waber,UK,Mint Chip Choco,2022-06-29,63840,2,June,2022,Wednesday
Beverie Moffet,India,Choco Coated Almonds,2022-02-24,35770,261,February,2022,Thursday
Madelene Upcott,UK,Smooth Sliky Salty,2022-03-04,145390,84,March,2022,Friday
Gigi Bohling,India,Eclairs,2022-06-21,34930,68,June,2022,Tuesday
Rafaelita Blaksland,Australia,Organic Choco Syrup,2022-01-26,9940,105,January,2022,Wednesday
Oby Sorrel,New Zealand,White Choc,2022-06-10,43610,40,June,2022,Friday
Andria Kimpton,UK,Drinking Coco,2022-05-23,15540,65,May,2022,Monday
Kelci Walkden,India,Milk Bars,2022-04-15,9660,107,April,2022,Friday
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,2022-01-31,53340,227,January,2022,Monday
Andria Kimpton,New Zealand,Organic Choco Syrup,2022-03-04,49350,39,March,2022,Friday
Barr Faughny,New Zealand,After Nines,2022-04-19,100240,84,April,2022,Tuesday
Beverie Moffet,UK,Almond Choco,2022-05-16,25060,100,May,2022,Monday
Oby Sorrel,Australia,Raspberry Choco,2022-02-17,10430,120,February,2022,Thursday
Dennison Crosswaite,USA,Raspberry Choco,2022-01-18,65240,257,January,2022,Tuesday
Roddy Speechley,Canada,Orange Choco,2022-02-09,81480,85,February,2022,Wednesday
Mallorie Waber,Canada,Orange Choco,2022-03-23,35770,178,March,2022,Wednesday
Madelene Upcott,New Zealand,Caramel Stuffed Bars,2022-02-01,33740,151,February,2022,Tuesday
Mallorie Waber,India,Drinking Coco,2022-03-07,39480,142,March,2022,Monday
Ches Bonnell,UK,White Choc,2022-01-03,32690,226,January,2022,Monday
Ches Bonnell,USA,White Choc,2022-02-11,52710,341,February,2022,Friday
Dennison Crosswaite,New Zealand,Orange Choco,2022-03-16,45710,140,March,2022,Wednesday
Dotty Strutley,India,White Choc,2022-08-15,123270,330,August,2022,Monday
Gigi Bohling,India,Manuka Honey Choco,2022-05-12,49350,73,May,2022,Thursday
Van Tuxwell,India,Spicy Special Slims,2022-04-11,61670,4,April,2022,Monday
Jan Morforth,New Zealand,Mint Chip Choco,2022-06-30,183400,285,June,2022,Thursday
Dotty Strutley,New Zealand,White Choc,2022-06-15,70140,60,June,2022,Wednesday
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,2022-08-01,71190,101,August,2022,Monday
Kaine Padly,USA,Milk Bars,2022-06-15,154910,58,June,2022,Wednesday
Brien Boise,India,After Nines,2022-06-16,57470,45,June,2022,Thursday
Oby Sorrel,New Zealand,Raspberry Choco,2022-05-13,45500,281,May,2022,Friday
Dennison Crosswaite,USA,Drinking Coco,2022-05-10,21910,138,May,2022,Tuesday
Oby Sorrel,India,Eclairs,2022-08-25,56630,322,August,2022,Thursday
Ches Bonnell,New Zealand,Organic Choco Syrup,2022-07-15,76230,85,July,2022,Friday
Gigi Bohling,UK,Baker's Choco Chips,2022-05-16,90230,409,May,2022,Monday
Jan Morforth,Australia,50% Dark Bites,2022-06-14,34020,182,June,2022,Tuesday
Beverie Moffet,Australia,Smooth Sliky Salty,2022-01-25,105070,467,January,2022,Tuesday
Ches Bonnell,USA,Organic Choco Syrup,2022-07-28,77210,14,July,2022,Thursday
Brien Boise,Canada,Mint Chip Choco,2022-01-28,50330,178,January,2022,Friday
Kaine Padly,UK,Orange Choco,2022-06-29,19600,191,June,2022,Wednesday
Karlen McCaffrey,Australia,70% Dark Bites,2022-06-24,2380,317,June,2022,Friday
Gunar Cockshoot,Canada,Mint Chip Choco,2022-07-01,77560,410,July,2022,Friday
Roddy Speechley,USA,Peanut Butter Cubes,2022-02-25,17360,137,February,2022,Friday
Curtice Advani,Canada,Smooth Sliky Salty,2022-08-01,26600,12,August,2022,Monday
Oby Sorrel,Australia,Milk Bars,2022-06-21,76720,254,June,2022,Tuesday
Camilla Castle,New Zealand,Spicy Special Slims,2022-01-25,115640,24,January,2022,Tuesday
Gigi Bohling,UK,Milk Bars,2022-05-17,13650,232,May,2022,Tuesday
Andria Kimpton,Australia,85% Dark Bars,2022-08-23,41860,233,August,2022,Tuesday
Camilla Castle,Australia,Smooth Sliky Salty,2022-03-03,74060,118,March,2022,Thursday
Roddy Speechley,India,Caramel Stuffed Bars,2022-05-30,89110,543,May,2022,Monday
Karlen McCaffrey,USA,Drinking Coco,2022-06-29,1120,223,June,2022,Wednesday
Andria Kimpton,Canada,Organic Choco Syrup,2022-01-04,82040,204,January,2022,Tuesday
Jehu Rudeforth,Australia,Drinking Coco,2022-01-14,26110,65,January,2022,Friday
Karlen McCaffrey,USA,Mint Chip Choco,2022-02-15,156520,53,February,2022,Tuesday
Curtice Advani,New Zealand,Spicy Special Slims,2022-01-10,40740,469,January,2022,Monday
Madelene Upcott,USA,White Choc,2022-05-04,122500,213,May,2022,Wednesday
Andria Kimpton,USA,Spicy Special Slims,2022-05-23,23660,5,May,2022,Monday
Barr Faughny,New Zealand,Fruit & Nut Bars,2022-04-26,16870,147,April,2022,Tuesday
Oby Sorrel,Canada,Organic Choco Syrup,2022-07-05,12320,74,July,2022,Tuesday
Madelene Upcott,UK,Organic Choco Syrup,2022-07-21,69650,163,July,2022,Thursday
Dotty Strutley,USA,Mint Chip Choco,2022-02-21,52920,248,February,2022,Monday
Kelci Walkden,USA,Orange Choco,2022-02-03,13790,138,February,2022,Thursday
Gigi Bohling,Australia,Caramel Stuffed Bars,2022-07-08,80010,151,July,2022,Friday
Mallorie Waber,India,50% Dark Bites,2022-05-31,5880,139,May,2022,Tuesday
Van Tuxwell,New Zealand,Mint Chip Choco,2022-06-27,40460,103,June,2022,Monday
Van Tuxwell,India,50% Dark Bites,2022-05-13,51030,129,May,2022,Friday
Van Tuxwell,USA,Manuka Honey Choco,2022-05-31,23170,102,May,2022,Tuesday
Wilone O'Kielt,USA,Orange Choco,2022-02-28,70420,37,February,2022,Monday
Barr Faughny,New Zealand,Eclairs,2022-03-28,67130,31,March,2022,Monday
Gigi Bohling,USA,After Nines,2022-01-14,18480,227,January,2022,Friday
Barr Faughny,New Zealand,Mint Chip Choco,2022-02-21,64400,145,February,2022,Monday
Dennison Crosswaite,Canada,85% Dark Bars,2022-08-01,108850,90,August,2022,Monday
Beverie Moffet,New Zealand,Smooth Sliky Salty,2022-05-19,23870,59,May,2022,Thursday
Husein Augar,USA,White Choc,2022-07-13,20300,60,July,2022,Wednesday
Andria Kimpton,Australia,Peanut Butter Cubes,2022-04-20,66780,148,April,2022,Wednesday
Dennison Crosswaite,India,85% Dark Bars,2022-06-30,45150,22,June,2022,Thursday
Curtice Advani,UK,50% Dark Bites,2022-03-08,33740,142,March,2022,Tuesday
Gunar Cockshoot,USA,Fruit & Nut Bars,2022-03-09,58520,93,March,2022,Wednesday
Oby Sorrel,Canada,Raspberry Choco,2022-06-16,17500,208,June,2022,Thursday
Gigi Bohling,UK,Drinking Coco,2022-06-30,57820,42,June,2022,Thursday
Kelci Walkden,India,Mint Chip Choco,2022-07-28,28700,120,July,2022,Thursday
Karlen McCaffrey,Canada,Peanut Butter Cubes,2022-08-12,30940,159,August,2022,Friday
Barr Faughny,UK,Mint Chip Choco,2022-07-07,37240,316,July,2022,Thursday
Barr Faughny,USA,85% Dark Bars,2022-08-25,127610,47,August,2022,Thursday
Husein Augar,Canada,Eclairs,2022-01-17,36960,233,January,2022,Monday
Jan Morforth,Australia,70% Dark Bites,2022-03-04,52220,384,March,2022,Friday
Marney O'Breen,New Zealand,Fruit & Nut Bars,2022-08-25,89390,4,August,2022,Thursday
Ches Bonnell,UK,Peanut Butter Cubes,2022-04-15,21560,260,April,2022,Friday
Kaine Padly,USA,Organic Choco Syrup,2022-03-11,23800,22,March,2022,Friday
Camilla Castle,USA,Raspberry Choco,2022-05-20,33390,18,May,2022,Friday
Brien Boise,New Zealand,Manuka Honey Choco,2022-06-14,149800,42,June,2022,Tuesday
Jehu Rudeforth,New Zealand,After Nines,2022-04-14,15120,73,April,2022,Thursday
Jehu Rudeforth,USA,Smooth Sliky Salty,2022-07-07,66570,154,July,2022,Thursday
Madelene Upcott,India,Mint Chip Choco,2022-08-24,38360,71,August,2022,Wednesday
Jehu Rudeforth,India,Eclairs,2022-02-24,87710,127,February,2022,Thursday
Karlen McCaffrey,Canada,Raspberry Choco,2022-05-09,6510,224,May,2022,Monday
Kaine Padly,Australia,70% Dark Bites,2022-02-08,67060,223,February,2022,Tuesday
Roddy Speechley,UK,70% Dark Bites,2022-03-24,14210,284,March,2022,Thursday
Rafaelita Blaksland,USA,Drinking Coco,2022-06-20,85260,73,June,2022,Monday
Mallorie Waber,Canada,Manuka Honey Choco,2022-03-07,14350,112,March,2022,Monday
Kaine Padly,Australia,Fruit & Nut Bars,2022-06-20,74340,85,June,2022,Monday
Oby Sorrel,New Zealand,Organic Choco Syrup,2022-02-17,153160,270,February,2022,Thursday
Madelene Upcott,UK,99% Dark & Pure,2022-01-26,104790,45,January,2022,Wednesday
Madelene Upcott,Australia,Mint Chip Choco,2022-05-02,27510,153,May,2022,Monday
Curtice Advani,Canada,99% Dark & Pure,2022-07-07,125860,7,July,2022,Thursday
Rafaelita Blaksland,Australia,Baker's Choco Chips,2022-08-22,27860,51,August,2022,Monday
Karlen McCaffrey,Australia,After Nines,2022-08-11,23030,67,August,2022,Thursday
Marney O'Breen,UK,99% Dark & Pure,2022-01-13,81130,194,January,2022,Thursday
Gunar Cockshoot,Australia,50% Dark Bites,2022-03-02,122710,116,March,2022,Wednesday
Marney O'Breen,Australia,Choco Coated Almonds,2022-07-27,112980,41,July,2022,Wednesday
Kelci Walkden,New Zealand,Drinking Coco,2022-03-10,158550,111,March,2022,Thursday
Beverie Moffet,USA,85% Dark Bars,2022-08-23,124040,334,August,2022,Tuesday
Roddy Speechley,USA,Eclairs,2022-04-25,39900,155,April,2022,Monday
Dennison Crosswaite,UK,Milk Bars,2022-03-07,108080,407,March,2022,Monday
Wilone O'Kielt,UK,Organic Choco Syrup,2022-07-12,48580,52,July,2022,Tuesday
Madelene Upcott,USA,Orange Choco,2022-05-16,77420,138,May,2022,Monday
Gunar Cockshoot,India,Smooth Sliky Salty,2022-03-02,37520,70,March,2022,Wednesday
Marney O'Breen,New Zealand,85% Dark Bars,2022-05-30,12180,149,May,2022,Monday
Marney O'Breen,UK,Manuka Honey Choco,2022-06-10,109830,179,June,2022,Friday
Brien Boise,USA,99% Dark & Pure,2022-07-25,67690,353,July,2022,Monday
Beverie Moffet,New Zealand,Mint Chip Choco,2022-06-09,43610,97,June,2022,Thursday
Dennison Crosswaite,USA,Milk Bars,2022-05-12,7770,60,May,2022,Thursday
Gunar Cockshoot,USA,Drinking Coco,2022-05-09,38430,5,May,2022,Monday
Brien Boise,Canada,Manuka Honey Choco,2022-08-09,69300,182,August,2022,Tuesday
Van Tuxwell,India,Choco Coated Almonds,2022-04-13,57330,114,April,2022,Wednesday
Andria Kimpton,USA,Caramel Stuffed Bars,2022-05-02,83930,46,May,2022,Monday
Dotty Strutley,USA,99% Dark & Pure,2022-08-09,38220,320,August,2022,Tuesday
Camilla Castle,Australia,Raspberry Choco,2022-08-23,63420,178,August,2022,Tuesday
Gunar Cockshoot,India,Spicy Special Slims,2022-05-13,65100,170,May,2022,Friday
Karlen McCaffrey,USA,Manuka Honey Choco,2022-02-01,101710,67,February,2022,Tuesday
Camilla Castle,USA,50% Dark Bites,2022-06-23,59080,301,June,2022,Thursday
Madelene Upcott,UK,Choco Coated Almonds,2022-05-24,101640,134,May,2022,Tuesday
Jan Morforth,Canada,Mint Chip Choco,2022-04-01,10640,211,April,2022,Friday
Camilla Castle,Canada,70% Dark Bites,2022-07-27,97160,151,July,2022,Wednesday
Ches Bonnell,India,Peanut Butter Cubes,2022-01-27,220500,208,January,2022,Thursday
Jan Morforth,India,Choco Coated Almonds,2022-08-12,25410,134,August,2022,Friday
Gigi Bohling,Canada,Almond Choco,2022-02-01,99890,49,February,2022,Tuesday
Rafaelita Blaksland,India,After Nines,2022-03-02,47390,204,March,2022,Wednesday
Kelci Walkden,Australia,99% Dark & Pure,2022-06-30,31850,34,June,2022,Thursday
Dotty Strutley,Australia,Spicy Special Slims,2022-01-17,82250,91,January,2022,Monday
Brien Boise,USA,Milk Bars,2022-07-07,143010,130,July,2022,Thursday
Mallorie Waber,New Zealand,Mint Chip Choco,2022-01-31,13160,107,January,2022,Monday
Beverie Moffet,UK,99% Dark & Pure,2022-08-10,34860,121,August,2022,Wednesday
Beverie Moffet,USA,Peanut Butter Cubes,2022-08-18,139300,339,August,2022,Thursday
Brien Boise,New Zealand,White Choc,2022-06-15,55090,321,June,2022,Wednesday
Marney O'Breen,USA,Baker's Choco Chips,2022-01-26,84700,9,January,2022,Wednesday
Kelci Walkden,USA,Spicy Special Slims,2022-04-29,770,69,April,2022,Friday
Mallorie Waber,Canada,White Choc,2022-03-03,33810,72,March,2022,Thursday
Kaine Padly,Australia,Almond Choco,2022-02-22,41020,392,February,2022,Tuesday
Oby Sorrel,USA,Smooth Sliky Salty,2022-03-04,35770,158,March,2022,Friday
Dennison Crosswaite,India,Smooth Sliky Salty,2022-07-07,29750,9,July,2022,Thursday
Camilla Castle,New Zealand,Caramel Stuffed Bars,2022-06-17,41370,347,June,2022,Friday
Jan Morforth,Canada,Caramel Stuffed Bars,2022-08-02,95410,114,August,2022,Tuesday
Oby Sorrel,USA,Baker's Choco Chips,2022-08-12,80010,120,August,2022,Friday
Madelene Upcott,New Zealand,Peanut Butter Cubes,2022-01-28,51520,333,January,2022,Friday
Kelci Walkden,Australia,Orange Choco,2022-04-29,111160,432,April,2022,Friday
Marney O'Breen,Australia,Manuka Honey Choco,2022-04-05,130760,236,April,2022,Tuesday
Kaine Padly,Canada,Manuka Honey Choco,2022-01-18,102130,135,January,2022,Tuesday
Jehu Rudeforth,UK,Baker's Choco Chips,2022-05-16,24850,97,May,2022,Monday
Kelci Walkden,Australia,White Choc,2022-08-24,87150,168,August,2022,Wednesday
Curtice Advani,India,85% Dark Bars,2022-01-18,2730,402,January,2022,Tuesday
Kaine Padly,USA,Eclairs,2022-08-22,76230,10,August,2022,Monday
Gunar Cockshoot,UK,99% Dark & Pure,2022-03-07,70,84,March,2022,Monday
Beverie Moffet,UK,Choco Coated Almonds,2022-03-04,30100,69,March,2022,Friday
Dotty Strutley,Canada,Manuka Honey Choco,2022-04-22,115500,111,April,2022,Friday
Kaine Padly,Australia,Milk Bars,2022-06-09,40460,89,June,2022,Thursday
Jan Morforth,Canada,Fruit & Nut Bars,2022-07-25,89040,199,July,2022,Monday
Jan Morforth,India,Smooth Sliky Salty,2022-08-03,112980,89,August,2022,Wednesday
Rafaelita Blaksland,Australia,Manuka Honey Choco,2022-08-03,43960,131,August,2022,Wednesday
Jehu Rudeforth,UK,Milk Bars,2022-05-03,120680,227,May,2022,Tuesday
Husein Augar,Canada,After Nines,2022-01-19,97720,301,January,2022,Wednesday
Roddy Speechley,USA,50% Dark Bites,2022-02-11,104580,316,February,2022,Friday
Van Tuxwell,India,Almond Choco,2022-06-14,64260,390,June,2022,Tuesday
Kelci Walkden,USA,50% Dark Bites,2022-03-23,61880,223,March,2022,Wednesday
Madelene Upcott,Canada,85% Dark Bars,2022-02-17,75040,101,February,2022,Thursday
Dennison Crosswaite,Canada,Smooth Sliky Salty,2022-03-17,17500,479,March,2022,Thursday
Mallorie Waber,Australia,Spicy Special Slims,2022-06-29,54390,287,June,2022,Wednesday
Ches Bonnell,Canada,Choco Coated Almonds,2022-08-24,155470,269,August,2022,Wednesday
Gigi Bohling,Canada,Spicy Special Slims,2022-07-04,119560,277,July,2022,Monday
Roddy Speechley,New Zealand,Almond Choco,2022-03-28,27230,67,March,2022,Monday
Curtice Advani,India,Smooth Sliky Salty,2022-04-19,193270,135,April,2022,Tuesday
Ches Bonnell,New Zealand,Mint Chip Choco,2022-01-18,90580,229,January,2022,Tuesday
Van Tuxwell,New Zealand,Fruit & Nut Bars,2022-01-17,29960,88,January,2022,Monday
Andria Kimpton,New Zealand,Mint Chip Choco,2022-02-15,88480,211,February,2022,Tuesday
Andria Kimpton,UK,Milk Bars,2022-02-11,143360,293,February,2022,Friday
Camilla Castle,USA,Manuka Honey Choco,2022-03-21,164010,179,March,2022,Monday
Gunar Cockshoot,New Zealand,Almond Choco,2022-01-05,51730,129,January,2022,Wednesday
Brien Boise,India,Raspberry Choco,2022-05-30,63280,164,May,2022,Monday
Jehu Rudeforth,USA,99% Dark & Pure,2022-01-04,25340,219,January,2022,Tuesday
Beverie Moffet,Australia,Fruit & Nut Bars,2022-04-22,14350,258,April,2022,Friday
Gigi Bohling,Canada,Milk Bars,2022-02-10,30520,116,February,2022,Thursday
Dotty Strutley,India,Spicy Special Slims,2022-08-12,9100,204,August,2022,Friday
Gunar Cockshoot,USA,Organic Choco Syrup,2022-08-10,23310,321,August,2022,Wednesday
Kelci Walkden,Australia,Raspberry Choco,2022-06-07,6790,56,June,2022,Tuesday
Jehu Rudeforth,India,Baker's Choco Chips,2022-06-06,20860,74,June,2022,Monday
Karlen McCaffrey,New Zealand,Baker's Choco Chips,2022-04-05,50120,189,April,2022,Tuesday
Wilone O'Kielt,USA,50% Dark Bites,2022-04-18,45010,131,April,2022,Monday
Andria Kimpton,India,50% Dark Bites,2022-01-31,134820,15,January,2022,Monday
Madelene Upcott,USA,Baker's Choco Chips,2022-08-22,56210,140,August,2022,Monday
Jehu Rudeforth,Australia,99% Dark & Pure,2022-02-25,104860,198,February,2022,Friday
Jan Morforth,Australia,Mint Chip Choco,2022-02-22,176260,103,February,2022,Tuesday
Oby Sorrel,New Zealand,Milk Bars,2022-01-12,44940,187,January,2022,Wednesday
Brien Boise,UK,Almond Choco,2022-05-25,1050,125,May,2022,Wednesday
Kelci Walkden,India,Smooth Sliky Salty,2022-02-01,24640,8,February,2022,Tuesday
Rafaelita Blaksland,UK,Eclairs,2022-04-27,13790,70,April,2022,Wednesday
Gigi Bohling,USA,Smooth Sliky Salty,2022-07-22,25830,126,July,2022,Friday
Curtice Advani,New Zealand,Mint Chip Choco,2022-01-26,32200,265,January,2022,Wednesday
Curtice Advani,USA,Mint Chip Choco,2022-08-24,48020,296,August,2022,Wednesday
Madelene Upcott,New Zealand,Fruit & Nut Bars,2022-01-18,56770,21,January,2022,Tuesday
Karlen McCaffrey,India,85% Dark Bars,2022-03-30,9450,83,March,2022,Wednesday
Ches Bonnell,Australia,Caramel Stuffed Bars,2022-01-17,87570,162,January,2022,Monday
Kelci Walkden,USA,Fruit & Nut Bars,2022-02-17,48160,145,February,2022,Thursday
Kelci Walkden,Canada,Peanut Butter Cubes,2022-04-08,75320,44,April,2022,Friday
Gigi Bohling,Canada,Drinking Coco,2022-07-06,35490,82,July,2022,Wednesday
Husein Augar,India,Fruit & Nut Bars,2022-04-04,43400,226,April,2022,Monday
Jan Morforth,New Zealand,Organic Choco Syrup,2022-03-02,17990,207,March,2022,Wednesday
Gigi Bohling,New Zealand,Raspberry Choco,2022-08-09,11270,176,August,2022,Tuesday
Dennison Crosswaite,Australia,Milk Bars,2022-06-09,100380,286,June,2022,Thursday
Ches Bonnell,UK,Caramel Stuffed Bars,2022-06-02,29260,300,June,2022,Thursday
Van Tuxwell,USA,Fruit & Nut Bars,2022-07-05,62790,235,July,2022,Tuesday
Andria Kimpton,Canada,Eclairs,2022-08-11,3080,125,August,2022,Thursday
Madelene Upcott,India,Choco Coated Almonds,2022-02-11,35000,145,February,2022,Friday
Kelci Walkden,New Zealand,Spicy Special Slims,2022-08-11,6580,65,August,2022,Thursday
Roddy Speechley,Australia,Drinking Coco,2022-05-12,125650,102,May,2022,Thursday
